epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2951,1.69281,2.97308,1.79453,0.58238,0.3922,0.42186,0.1926,1.85321,2.67119,1.80108,0.000330218,0.000330218,0.000330218
2,59.9198,1.59934,2.20202,1.6767,0.54502,0.39226,0.38998,0.16223,1.96618,2.82318,2.01827,0.000641654,0.000641654,0.000641654
3,88.1296,1.59634,2.0719,1.67148,0.61184,0.47526,0.49986,0.22374,1.88765,2.38216,1.88352,0.00093109,0.00093109,0.00093109
4,117.783,1.57261,1.91554,1.64583,0.43175,0.45486,0.4433,0.21237,1.83684,2.38312,1.94256,0.000901,0.000901,0.000901
5,144.983,1.53578,1.83046,1.61705,0.6568,0.51227,0.50599,0.2504,1.73116,1.95156,1.76794,0.000868,0.000868,0.000868
6,173.445,1.51265,1.7452,1.60573,0.50506,0.56659,0.60697,0.29283,1.73575,1.85438,1.82212,0.000835,0.000835,0.000835
7,203.102,1.50059,1.69445,1.58642,0.65005,0.53583,0.57093,0.28835,1.72586,1.83146,1.7167,0.000802,0.000802,0.000802
8,232.172,1.46364,1.64467,1.56142,0.60053,0.61366,0.62437,0.31254,1.68135,1.71248,1.72708,0.000769,0.000769,0.000769
9,261.236,1.4539,1.60393,1.55467,0.57822,0.60755,0.60932,0.30125,1.73197,1.6897,1.73939,0.000736,0.000736,0.000736
10,290.463,1.43321,1.55637,1.53986,0.50551,0.62754,0.62769,0.32184,1.71573,1.53166,1.69097,0.000703,0.000703,0.000703
11,318.662,1.42414,1.51994,1.5419,0.52041,0.67807,0.66576,0.35502,1.68152,1.4884,1.68356,0.00067,0.00067,0.00067
12,349.415,1.4232,1.51877,1.53917,0.80179,0.48561,0.61566,0.29943,1.74636,1.62569,1.78157,0.000637,0.000637,0.000637
13,378.014,1.40524,1.49257,1.5458,0.65652,0.66368,0.68136,0.37715,1.55811,1.44938,1.63719,0.000604,0.000604,0.000604
14,407.592,1.38652,1.45443,1.51415,0.63382,0.67591,0.70412,0.38036,1.62828,1.3952,1.68174,0.000571,0.000571,0.000571
15,436.968,1.39746,1.43999,1.52442,0.57975,0.70266,0.70923,0.37944,1.64194,1.4204,1.65989,0.000538,0.000538,0.000538
16,464.273,1.37144,1.40386,1.50371,0.61418,0.64681,0.66832,0.34702,1.6231,1.41245,1.65303,0.000505,0.000505,0.000505
17,492.053,1.35653,1.39036,1.49165,0.5633,0.63952,0.67827,0.36152,1.67438,1.47927,1.6807,0.000472,0.000472,0.000472
18,520.058,1.36727,1.38959,1.49937,0.58903,0.70547,0.69583,0.3703,1.60176,1.4644,1.67581,0.000439,0.000439,0.000439
19,548.573,1.32859,1.3362,1.47618,0.84088,0.56728,0.7154,0.38324,1.58013,1.31953,1.64061,0.000406,0.000406,0.000406
20,577.163,1.32769,1.34536,1.47524,0.64351,0.63177,0.68272,0.38525,1.59689,1.34081,1.63323,0.000373,0.000373,0.000373
21,606.453,1.39377,1.37888,1.58377,0.69598,0.64905,0.73318,0.4,1.60589,1.34764,1.63495,0.00034,0.00034,0.00034
22,633.67,1.35928,1.32032,1.55974,0.63316,0.72353,0.70313,0.39214,1.48665,1.30888,1.58917,0.000307,0.000307,0.000307
23,660.993,1.32349,1.26818,1.53667,0.65403,0.69814,0.71019,0.40247,1.55184,1.25473,1.65785,0.000274,0.000274,0.000274
24,686.934,1.31009,1.24548,1.51525,0.65579,0.68397,0.74165,0.40891,1.54553,1.29762,1.61711,0.000241,0.000241,0.000241
25,713.932,1.30655,1.22805,1.52277,0.72535,0.67769,0.74288,0.42106,1.60343,1.27799,1.61189,0.000208,0.000208,0.000208
26,741.102,1.28247,1.19019,1.49592,0.72494,0.69628,0.7592,0.43735,1.49754,1.21943,1.53084,0.000175,0.000175,0.000175
27,767.23,1.27771,1.17895,1.49895,0.70668,0.68603,0.74527,0.43324,1.5065,1.21962,1.56311,0.000142,0.000142,0.000142
28,793.111,1.25169,1.17264,1.47706,0.70497,0.73039,0.7627,0.44372,1.47878,1.20933,1.58433,0.000109,0.000109,0.000109
29,819.746,1.2296,1.1305,1.46737,0.67556,0.70063,0.74761,0.45,1.43805,1.19895,1.54959,7.6e-05,7.6e-05,7.6e-05
30,844.376,1.22796,1.12478,1.46746,0.71762,0.70547,0.75771,0.44375,1.4676,1.20677,1.54331,4.3e-05,4.3e-05,4.3e-05
